College_Name,State,Fees,Rating
Dr. C.V. Raman University - [CVRU],Unknown,Unknown,7.5
Dr. D. Y. Patil Institute of Technology - [DYPIT] Pimpri,Unknown,Unknown,8.6
Dr. M.G.R. Educational and Research Institute,Unknown,Unknown,8.3
Dr. N.G.P. Arts and Science College - [DrNGPASC],Unknown,Unknown,7.7
Dr. Ram Manohar Lohia Avadh University - [RMLAU],Unknown,Unknown,6.7
Dr. S & S.S. Ghandhy Government Engineering College,Unknown,Unknown,5.9
Dr. Sudhir Chandra Sur Institute of Technology & Sports Complex - [SURTECH],Unknown,Unknown,8.3
Dronacharya College of Engineering - [DCE],Unknown,Unknown,9.0
Drs. Kiran and Pallavi Patel Global University,Unknown,Unknown,8.7
East Point Group of Institutions - [EPGI],Unknown,Unknown,8.0
East West College of Engineering - [EWCE],Unknown,Unknown,8.2
East West Institute of Technology - [EWIT],Unknown,Unknown,7.4
Eranad Knowledge City Technical Campus Manjeri,Unknown,Unknown,6.2
Excel Engineering College,Unknown,Unknown,10.0
"Faculty of Engineering and Technology, Jain University - [FET JU]",Unknown,Unknown,7.8
"Faculty of Technology and Engineering, Maharaja Sayajirao University of Baroda",Unknown,Unknown,8.2
Fatima Michael College of Engineering and Technology,Unknown,Unknown,8.0
Federal Institute of Science and Technology - [FISAT],Unknown,Unknown,8.8
Finolex Academy of Management and Technology - [FAMT],Unknown,Unknown,8.5
Fr. Conceicao Rodrigues College of Engineering - [CRCE],Unknown,Unknown,8.0
Francis Xavier Engineering College,Unknown,Unknown,8.2
Future Institute of Engineering and Management - [FIEM],Unknown,Unknown,8.5
G D Goenka University - [GDGU],Unknown,Unknown,8.2
G H Patel College of Engineering & Technology - [GCET],Unknown,Unknown,6.6
G H Raisoni College of Engineering and Management - [GHRCEM],Unknown,Unknown,8.2
G H Raisoni Institute of Engineering & Technology - [GHRIET],Unknown,Unknown,8.3
G L Bajaj Institute of Technology and Management,Unknown,Unknown,8.2
G. Pullaiah College of Engineering and Technology - [GPCET],Unknown,Unknown,5.0
"GB Pant Delhi Skill and Entrepreneurship University, Okhla-I Campus",Unknown,Unknown,7.7
GH Raisoni College of Engineering - [GHRCE],Unknown,Unknown,8.6
GIDC Degree Engineering College,Unknown,Unknown,7.7
"GIET Engineering College, Rajahmundhry",Unknown,Unknown,7.2
GIET University - [GIET],Unknown,Unknown,8.3
GITAM,Unknown,Unknown,9.5
GL Bajaj Group of Institutions - [GLBGI],Unknown,Unknown,5.8
GLA University,Unknown,Unknown,8.2
GMR Institute of Technology - [GMRIT],Unknown,Unknown,7.7
GS Mandal's Marathwada Institute of Technology - [MIT],Unknown,Unknown,8.8
GSFC University,Unknown,Unknown,8.2
Galgotias College of Engineering and Technology - [GCET],Unknown,Unknown,8.6
Galgotias University - [GU],Unknown,Unknown,8.1
Gandhi Institute for Technology - [GIFT],Unknown,Unknown,8.0
Gandhi Institute of Technology and Management - [GITAM],Unknown,Unknown,8.2
Gandhiji Institute of Science and Technology - [GIST],Unknown,Unknown,7.8
Garden City University - [GCU],Unknown,Unknown,8.5
Gateway Institute of Engineering and Technology - [GIET],Unknown,Unknown,9.1
Gauhati University - [GU],Unknown,Unknown,8.7
Gautam Buddha University - [GBU],Unknown,Unknown,7.5
Gaya College of Engineering,Unknown,Unknown,6.9
"Gayatri Vidya Parishad College for Degree and PG Courses, School of Engineering",Unknown,Unknown,9.6
Gayatri Vidya Parishad College of Engineering,Unknown,Unknown,7.7
Geetanjali Institute of Technical Studies - [GITS],Unknown,Unknown,8.5
Geethanjali College of Engineering and Technology - [GCET] Keesara,Unknown,Unknown,10.0
Giani Zail Singh Campus College of Engineering and Technology - [GZSCCET],Unknown,Unknown,7.7
Global Academy of Technology - [GAT],Unknown,Unknown,8.6
Global Institute of Engineering and Technology - [GIT],Unknown,Unknown,7.5
